釜山行2：半岛,2020-08-12,动作／惊悚
唐人街探案2,2018-02-16,喜剧／动作／悬疑
天气之子,2019-11-01,爱情／动画／奇幻
误杀,2020-07-20,剧情／犯罪
第一次的离别,2020-07-20,剧情／家庭
我在世界城等你,2016-05-16,短片
大话西游之大圣娶亲,2020-07-24,喜剧／爱情／奇幻／古装
釜山行,2016-05-13,动作／惊悚／灾难
寻梦环游记,2020-07-20,动画／冒险／家庭
少年的你,2019-10-25,爱情／青春／剧情
